id,popularity,budget,revenue,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,genre_encoded,month of release
1722,0.20688,57000000,62112895,131,67,5.6,2001,70194822.65,76491292.09,6,8
28308,0.205873,0,0,109,17,4.5,2001,0,0,6,4
37632,0.205204,0,0,89,30,3.8,2001,0,0,1,12
26014,0.203888,0,0,93,13,5.7,2001,0,0,3,11
2141,0.151506,0,0,90,22,6.7,2001,0,0,6,8
13166,0.202684,0,0,87,48,4.3,2001,0,0,3,4
20004,0.198443,0,0,96,12,3.9,2001,0,0,15,11
26840,0.254157,0,0,3,12,5.4,2001,0,0,2,1
29742,0.017536,0,0,100,15,4.7,2001,0,0,1,1
15647,0.195196,1000000,10013424,97,22,5.9,2001,1231488.117,12331412.66,3,4
30416,0.194196,0,0,141,20,7.5,2001,0,0,5,5
71885,0.191718,0,0,110,11,4.2,2001,0,0,16,2
40415,0.191697,0,0,119,10,7.1,2001,0,0,3,9
11370,0.191566,40000000,27053815,104,32,5.1,2001,49259524.67,33316451.68,0,9
35080,0.189393,7000000,3646994,114,19,5.7,2001,8620416.817,4491229.773,6,8
12484,0.210173,5000000,0,90,17,4.6,2001,6157440.583,0,0,4
35583,0.18527,0,0,92,16,6,2001,0,0,10,12
18734,0.185009,700000,1667192,97,13,5.2,2001,862041.6817,2053127.136,6,1
20309,0.173806,25000000,0,95,21,5.1,2001,30787202.92,0,3,3
9683,0.169845,0,0,84,73,4.6,2001,0,0,1,8
200813,0.114027,0,0,400,22,6.9,2001,0,0,5,9
12900,0.168793,0,0,96,31,6.3,2001,0,0,6,5
20794,0.164669,6000000,2025238,95,12,5.9,2001,7388928.7,2494056.53,3,11
16723,0.26321,11000000,13276953,81,31,5.4,2001,13546369.28,16350409.85,4,1
36269,0.150234,0,0,93,27,5.7,2001,0,0,3,3
43575,0.149414,0,0,74,11,6,2001,0,0,2,10
11380,0.148963,10000000,7316658,96,17,4,2001,12314881.17,9010377.381,0,10
1282,0.138861,0,0,91,28,6.7,2001,0,0,5,1
27834,0.133455,0,0,88,13,5.9,2001,0,0,3,5
26475,0.19853,0,0,115,11,5.6,2001,0,0,3,5
13408,0.12891,7000000,10229331,93,15,5.6,2001,8620416.817,12597299.57,0,11
19058,0.128169,15000000,163169,111,10,3.7,2001,18472321.75,200940.6845,0,5
15745,0.126065,5000000,5476060,94,19,5.8,2001,6157440.583,6743702.816,0,7
14033,0.116784,0,0,84,21,4.5,2001,0,0,6,9
10836,0.115221,4800000,0,95,23,6.1,2001,5911142.96,0,8,10
21997,0.115051,0,0,95,10,6.1,2001,0,0,16,10
34205,0.114896,0,0,81,38,6,2001,0,0,1,10
25753,0.108157,0,0,82,10,4.3,2001,0,0,11,10
35703,0.200262,0,0,87,17,5.6,2001,0,0,0,11
35831,0.100277,0,0,97,16,4,2001,0,0,8,4
17612,0.097715,0,0,103,55,6.8,2001,0,0,6,1
16161,0.089976,16000000,29381649,130,29,7.4,2001,19703809.87,36183151.59,6,6
